iter	RMSE
0	706832.9656
1	678329.4175
2	650899.3298
3	625162.2708
4	600519.8539
5	575771.6853
6	552413.722
7	530944.5523
8	512151.3203
9	492365.1135
10	475607.8733
11	455911.3926
12	438336.6473
13	420722.714
14	405365.233
15	390139.0457
16	376899.4469
17	363303.9844
18	348934.9806
19	336776.8895
20	325300.4001
21	314291.6726
22	303796.5028
23	292709.8943
24	283142.9553
25	273446.1096
26	263709.185
27	254349.0028
28	246195.291
29	238407.3221
30	230286.6748
31	223114.2569
32	215782.4984
33	208827.8112
34	202462.5155
35	196081.7946
36	189476.7818
37	183283.5673
38	177952.4201
39	173102.5244
40	168148.546
41	164232.8832
42	159931.0648
43	155712.9783
44	151758.1674
45	148554.7642
46	144894.5328
47	141117.1767
48	137925.9957
49	134629.2289
50	130988.1202
51	127800.1793
52	124960.3188
53	122023.8678
54	119401.5421
55	116735.2591
56	113960.7656
57	111440.5999
58	108878.165
59	106658.6623
60	104370.4671
61	102493.9661
62	100876.0089
63	99145.20963
64	97419.75992
65	95845.97838
66	93961.20478
67	92712.13186
68	91193.5879
69	89941.09798
70	88890.56979
71	87572.48609
72	86844.09593
73	85491.08865
74	84724.13539
75	83574.35143
76	82234.50132
77	81339.88249
78	80182.70551
79	79256.99129
80	78162.21653
81	77612.45591
82	76587.38912
83	75609.3731
84	74732.86514
85	73936.63921
86	73122.1147
87	72567.61909
88	71896.7059
89	71130.7055
90	70685.95251
91	70142.89174
92	69724.35342
93	69154.24572
94	68691.56423
95	68252.42492
96	67722.15616
97	67350.93896
98	66939.28111
99	66672.89655
100	66123.6474
101	65809.05702
102	65419.28085
103	65091.7524
104	64848.81909
105	64159.935
106	63609.92473
107	63101.04732
108	62814.24537
109	62529.83629
110	62207.10226
111	61723.14592
112	61371.54645
113	61076.91799
114	60523.75954
115	60048.38946
116	59578.74645
117	59399.70258
118	59103.62236
119	58886.77479
120	58658.91131
121	58378.8044
122	58001.29109
123	57786.47138
124	57501.6562
125	57316.40008
126	56899.6931
127	56491.92029
128	56035.87079
129	55850.97505
130	55477.85745
131	55015.25541
132	54831.74067
133	54703.51516
134	54289.19911
135	53888.16947
136	53725.90337
137	53305.85803
138	53149.18651
139	52776.35803
140	52609.06416
141	52203.60279
142	51879.98502
143	51559.0045
144	51267.17033
145	51109.92745
146	50783.90429
147	50572.68931
148	50443.03546
149	50307.12583
150	50008.83058
151	49733.26132
152	49387.58256
153	49094.91823
154	48714.57494
155	48462.74038
156	48355.29316
157	48145.10998
158	47993.44369
159	47880.33074
160	47781.59671
161	47580.70436
162	47327.07826
163	47049.57564
164	46795.88161
165	46526.16859
166	46271.1229
167	46049.64569
168	45939.73416
169	45844.94339
170	45751.63461
171	45527.78911
172	45435.39997
173	45242.95098
174	45033.5301
175	44886.28418
176	44687.20731
177	44504.92885
178	44416.37901
179	44210.17271
180	43989.7758
181	43891.70106
182	43663.01831
183	43510.33436
184	43327.51468
185	43032.67721
186	42783.61882
187	42529.06214
188	42358.11018
189	42177.36198
190	42103.38427
191	41907.06047
192	41722.74395
193	41653.12278
194	41468.33884
195	41359.15184
196	41105.69269
197	40896.37184
198	40830.38591
199	40626.17467
200	40558.30226
201	40329.03953
202	40265.85785
203	40201.03198
204	39965.82324
205	39765.98256
206	39710.51303
207	39501.7344
208	39269.40628
209	39217.00191
210	39006.46151
211	38951.04216
212	38894.18245
213	38792.42661
214	38590.3957
215	38404.33281
216	38216.99837
217	38010.76312
218	37870.26218
219	37705.76387
220	37660.08149
221	37496.39316
222	37288.62761
223	37098.37581
224	36899.93212
225	36774.72448
226	36674.24506
227	36631.10765
228	36444.67281
229	36398.40416
230	36264.40822
231	36081.51121
232	35920.44954
233	35746.66733
234	35595.09192
235	35418.52243
236	35292.41996
237	35147.09622
238	34984.60721
239	34862.79686
240	34738.00736
241	34646.68296
242	34544.76565
243	34402.30446
244	34270.95184
245	34103.06834
246	33949.87952
247	33797.05475
248	33666.78325
249	33494.88472
250	33381.61228
251	33251.65536
252	33104.64029
253	32996.41703
254	32902.09647
255	32771.8905
256	32682.00692
257	32591.74468
258	32483.08103
259	32342.82502
260	32208.47572
261	32105.62428
262	31962.60507
263	31889.96126
264	31797.71684
265	31671.1837
266	31531.02852
267	31410.34184
268	31286.46249
269	31150.04347
270	31042.76391
271	30956.87889
272	30878.81968
273	30773.89164
274	30690.96051
275	30569.34916
276	30455.26869
277	30355.36267
278	30231.24499
279	30126.09396
280	30023.33339
281	29920.732
282	29822.41943
283	29721.92744
284	29628.28335
285	29526.5084
286	29420.3706
287	29312.3943
288	29236.05226
289	29150.12939
290	29059.27647
291	28951.79028
292	28873.36656
293	28765.75638
294	28695.14933
295	28605.15216
296	28553.0103
297	28477.03913
298	28387.19528
299	28294.87762
300	28195.75235
301	28105.62125
302	28035.31645
303	27955.91675
304	27874.3535
305	27777.92302
306	27698.38926
307	27638.52358
308	27541.20026
309	27455.12546
310	27352.28355
311	27269.3481
312	27193.42598
313	27121.36538
314	27034.71451
315	27005.48612
316	26917.68868
317	26873.4348
318	26796.58906
319	26720.61248
320	26630.34083
321	26602.57905
322	26548.77952
323	26448.28566
324	26363.6882
325	26277.17647
326	26202.87288
327	26151.11515
328	26073.71671
329	25998.89856
330	25917.08457
331	25891.91711
332	25811.53393
333	25731.99562
334	25644.3343
335	25579.92923
336	25504.04956
337	25428.19845
338	25349.39294
339	25290.48339
340	25216.70619
341	25167.94311
342	25092.97543
343	25029.54863
344	24992.41815
345	24970.70959
346	24918.17597
347	24830.18602
348	24776.10689
349	24715.11138
350	24661.62465
351	24601.06722
352	24527.6368
353	24482.64552
354	24417.8566
355	24346.61881
356	24305.89783
357	24240.02805
358	24186.3874
359	24167.03225
360	24111.04854
361	24070.32826
362	24035.84334
363	23969.15629
364	23924.40498
365	23890.65362
366	23833.04514
367	23814.58049
368	23735.76232
369	23677.75242
370	23608.85279
371	23548.35943
372	23492.36649
373	23421.07992
374	23383.56399
375	23351.46428
376	23334.04559
377	23289.72506
378	23238.80189
379	23183.37831
380	23110.13419
381	23061.00927
382	23030.3291
383	22979.92157
384	22917.376
385	22893.8525
386	22863.99792
387	22805.91134
388	22749.85739
389	22720.67123
390	22668.46809
391	22636.77025
392	22608.41321
393	22562.40436
394	22527.29042
395	22479.30067
396	22434.10207
397	22385.29618
398	22340.8231
399	22253.80888
400	22226.66684
401	22185.46244
402	22151.59329
403	22106.72021
404	22042.28109
405	21966.37951
406	21924.7845
407	21887.9044
408	21865.57918
409	21815.56777
410	21772.62956
411	21746.19652
412	21697.84733
413	21654.44207
414	21606.03385
415	21556.96682
416	21490.86919
417	21446.79779
418	21413.66996
419	21354.24589
420	21309.87915
421	21263.09962
422	21227.16995
423	21188.80047
424	21116.17927
425	21081.22443
426	21033.97364
427	21008.34486
428	20977.20227
429	20940.52697
430	20870.8458
431	20834.70247
432	20805.55276
433	20766.93158
434	20731.62249
435	20683.26747
436	20660.81604
437	20619.18748
438	20559.95846
439	20526.20415
440	20507.85246
441	20472.94995
442	20438.14223
443	20409.73925
444	20392.13025
445	20324.81269
