iter	Passed	Remaining
0	2	2941
1	5	2787
2	8	2704
3	10	2597
4	12	2479
5	14	2378
6	16	2315
7	18	2256
8	20	2207
9	21	2175
10	23	2137
11	25	2107
12	27	2080
13	29	2059
14	31	2055
15	33	2034
16	34	2013
17	36	2004
18	38	1990
19	40	1978
20	42	1967
21	43	1955
22	45	1948
23	47	1940
24	49	1931
25	51	1933
26	53	1924
27	55	1916
28	56	1907
29	58	1900
30	60	1896
31	62	1889
32	64	1882
33	66	1876
34	67	1871
35	69	1865
36	71	1860
37	73	1857
38	75	1854
39	77	1849
40	78	1845
41	80	1840
42	82	1837
43	84	1834
44	86	1830
45	88	1825
46	89	1820
47	91	1818
48	93	1814
49	95	1809
50	97	1805
51	98	1802
52	100	1798
53	102	1802
54	104	1798
55	106	1795
56	108	1791
57	110	1787
58	112	1786
59	113	1783
60	115	1781
61	117	1778
62	119	1774
63	121	1770
64	122	1767
65	124	1764
66	126	1761
67	128	1758
68	130	1756
69	132	1755
70	133	1752
71	135	1748
72	137	1745
73	139	1741
74	140	1738
75	142	1737
76	144	1734
77	146	1730
78	148	1727
79	149	1724
80	152	1724
81	153	1721
82	155	1718
83	157	1715
84	159	1712
85	160	1709
86	162	1708
87	164	1705
88	166	1702
89	168	1699
90	169	1696
91	171	1696
92	173	1693
93	175	1690
94	177	1687
95	178	1684
96	180	1681
97	182	1681
98	184	1678
99	186	1676
100	187	1673
101	189	1670
102	191	1667
103	193	1664
104	194	1661
105	196	1658
106	198	1656
107	200	1654
108	202	1651
109	203	1648
110	205	1646
111	207	1643
112	209	1640
113	210	1638
114	212	1638
115	214	1636
116	216	1633
117	218	1631
118	220	1628
119	222	1628
120	223	1626
121	225	1623
122	227	1621
123	229	1618
124	230	1616
125	232	1615
126	234	1612
127	236	1610
128	238	1608
129	240	1606
130	241	1604
131	243	1602
132	245	1600
133	247	1597
134	248	1595
135	250	1593
136	253	1594
137	254	1592
138	256	1591
139	258	1589
140	260	1587
141	262	1586
142	264	1584
143	266	1582
144	268	1580
145	269	1578
146	271	1575
147	273	1573
148	275	1571
149	276	1568
150	278	1566
151	280	1564
152	282	1565
153	284	1563
154	286	1561
155	288	1558
156	289	1556
157	291	1554
158	293	1553
159	295	1551
160	297	1549
161	299	1546
162	300	1544
163	302	1543
164	304	1541
165	306	1539
166	308	1536
167	309	1535
168	311	1533
169	313	1531
170	315	1529
171	317	1526
172	318	1524
173	320	1523
174	323	1523
175	324	1521
176	326	1519
177	328	1517
178	330	1515
179	332	1512
180	334	1511
181	335	1509
182	337	1507
183	339	1505
184	341	1503
185	343	1501
186	344	1499
187	346	1497
188	348	1495
189	350	1493
190	352	1491
191	353	1489
192	355	1487
193	357	1485
194	359	1483
195	361	1481
196	363	1480
197	365	1478
198	366	1476
199	368	1473
200	370	1471
201	372	1469
202	373	1468
203	375	1465
204	377	1463
205	379	1461
206	380	1459
207	383	1458
208	384	1456
209	386	1454
210	388	1453
211	390	1450
212	392	1449
213	394	1448
214	396	1446
215	397	1444
216	399	1442
217	401	1440
218	403	1438
219	405	1436
220	406	1434
221	408	1432
222	410	1430
223	412	1428
224	414	1426
225	416	1424
226	417	1422
227	419	1420
228	421	1418
229	423	1418
230	425	1415
231	427	1413
232	428	1412
233	430	1409
234	432	1408
235	434	1406
236	436	1404
237	438	1402
238	439	1400
239	441	1398
240	443	1397
241	445	1395
242	447	1393
243	449	1391
244	450	1389
245	452	1387
246	454	1385
247	456	1383
248	458	1381
249	459	1379
250	461	1377
251	463	1375
252	465	1374
253	467	1372
254	469	1370
255	470	1368
256	472	1366
257	474	1365
258	476	1363
259	478	1361
260	480	1359
261	482	1357
262	483	1355
263	485	1353
264	487	1351
265	489	1350
266	491	1348
267	493	1346
268	494	1344
269	496	1343
270	498	1341
271	500	1339
272	502	1338
273	504	1337
274	506	1335
275	508	1333
276	510	1331
277	511	1329
278	513	1328
279	515	1326
280	517	1324
281	519	1322
282	521	1320
283	523	1318
284	524	1316
285	526	1314
286	528	1312
287	530	1311
288	532	1309
289	534	1307
290	535	1305
291	537	1303
292	539	1301
293	541	1299
294	542	1297
295	544	1295
296	546	1293
297	548	1291
298	550	1289
299	551	1287
300	554	1286
301	555	1284
302	557	1282
303	559	1280
304	561	1278
305	562	1276
306	564	1275
307	566	1273
308	568	1271
309	570	1269
310	571	1267
311	573	1265
312	575	1263
313	577	1261
314	579	1259
315	580	1257
316	582	1255
317	585	1254
318	586	1252
319	588	1250
320	590	1249
321	592	1247
322	594	1245
323	595	1243
324	597	1241
325	599	1239
326	601	1237
327	603	1235
328	605	1233
329	606	1231
330	608	1230
331	610	1228
332	612	1226
333	614	1225
334	616	1223
335	618	1221
336	619	1219
337	621	1217
338	623	1215
339	625	1213
340	627	1212
341	629	1210
342	630	1208
343	632	1206
344	634	1204
345	636	1202
346	638	1201
347	640	1199
348	641	1197
349	644	1196
350	645	1194
351	647	1192
352	649	1190
353	651	1188
354	652	1186
355	654	1184
356	656	1182
357	658	1180
358	660	1178
359	661	1176
360	664	1175
361	665	1173
362	667	1171
363	669	1169
364	671	1167
365	673	1165
366	674	1163
367	676	1162
368	678	1160
369	680	1158
370	682	1156
371	684	1154
372	686	1153
373	688	1152
374	690	1150
375	692	1148
376	694	1147
377	695	1145
378	697	1143
379	699	1141
380	701	1139
381	703	1137
382	704	1135
383	706	1133
384	708	1131
385	710	1129
386	712	1127
387	714	1126
388	716	1124
389	717	1122
390	719	1120
391	721	1119
392	723	1117
393	725	1115
394	727	1113
395	728	1111
396	730	1109
397	732	1108
398	734	1106
399	736	1105
400	738	1103
401	746	1111
402	750	1112
403	754	1113
404	758	1114
405	761	1113
406	772	1124
407	780	1132
408	782	1131
409	785	1130
410	788	1129
411	789	1127
412	791	1125
413	793	1123
414	796	1122
415	798	1120
416	799	1118
417	801	1116
418	803	1114
419	805	1112
420	807	1110
421	809	1108
422	811	1106
423	813	1104
424	815	1103
425	817	1101
426	819	1099
427	821	1097
428	823	1095
429	824	1093
430	826	1091
431	828	1089
432	830	1087
433	832	1085
434	834	1083
435	836	1081
436	837	1079
437	839	1077
438	841	1075
439	843	1073
440	845	1071
441	846	1069
442	848	1067
443	850	1065
444	852	1063
445	854	1060
446	855	1058
447	857	1056
448	859	1054
449	861	1052
450	863	1050
451	865	1048
452	867	1047
453	868	1044
454	870	1042
455	872	1040
456	874	1038
457	876	1037
458	878	1035
459	880	1033
460	882	1031
461	884	1029
462	886	1027
463	887	1025
464	889	1023
465	891	1021
466	893	1019
467	894	1017
468	896	1015
469	898	1013
470	900	1011
471	902	1009
472	904	1007
473	906	1005
474	908	1003
475	909	1001
476	911	999
477	913	997
478	915	995
479	917	993
480	919	991
481	921	989
482	922	987
483	924	985
484	926	984
485	928	982
486	930	980
487	932	977
488	933	975
489	935	973
490	937	971
491	939	969
492	941	967
493	942	965
494	945	964
495	946	962
496	948	960
497	950	958
498	952	956
499	954	954
500	955	952
501	957	950
502	959	948
503	961	946
504	963	944
505	964	942
506	966	940
507	968	938
508	970	936
509	972	934
510	974	932
511	976	930
512	980	930
513	983	930
514	987	929
515	989	927
516	991	925
517	992	923
518	994	921
519	997	920
520	998	918
521	1000	916
522	1002	914
523	1004	912
524	1006	910
525	1008	908
526	1009	906
527	1011	904
528	1013	902
529	1015	900
530	1017	898
531	1018	896
532	1020	894
533	1022	892
534	1024	890
535	1025	888
536	1028	886
537	1029	884
538	1031	882
539	1033	880
540	1035	878
541	1037	876
542	1039	874
543	1041	872
544	1042	870
545	1044	868
546	1046	866
547	1048	864
548	1050	862
549	1052	860
550	1053	858
551	1055	856
552	1057	854
553	1059	852
554	1061	850
555	1062	848
556	1064	846
557	1066	844
558	1068	842
559	1070	841
560	1072	839
561	1074	837
562	1075	835
563	1078	833
564	1080	831
565	1081	829
566	1083	827
567	1085	825
568	1087	824
569	1089	822
570	1091	820
571	1093	817
572	1094	815
573	1096	813
574	1098	812
575	1100	810
576	1102	808
577	1104	806
578	1105	804
579	1108	802
580	1110	800
581	1111	798
582	1113	796
583	1115	794
584	1117	793
585	1119	791
586	1121	789
587	1123	787
588	1125	785
589	1126	783
590	1129	781
591	1131	779
592	1132	777
593	1134	775
594	1136	773
595	1138	771
596	1140	770
597	1142	768
598	1144	766
599	1146	764
600	1147	762
601	1149	760
602	1151	758
603	1153	756
604	1155	754
605	1156	752
606	1158	750
607	1160	748
608	1162	746
609	1164	744
610	1166	742
611	1168	740
612	1169	738
613	1171	736
614	1173	734
615	1175	732
616	1177	730
617	1178	728
618	1180	726
619	1182	724
620	1184	722
621	1186	720
622	1187	718
623	1189	717
624	1191	715
625	1193	713
626	1195	711
627	1197	709
628	1198	707
629	1200	705
630	1202	703
631	1204	701
632	1206	699
633	1207	697
634	1209	695
635	1211	693
636	1213	691
637	1215	689
638	1217	687
639	1219	685
640	1221	683
641	1222	681
642	1224	680
643	1226	678
644	1228	676
645	1230	674
646	1232	672
647	1233	670
648	1235	668
649	1237	666
650	1239	664
651	1241	662
652	1243	660
653	1245	658
654	1246	656
655	1249	655
656	1250	653
657	1252	651
658	1254	649
659	1256	647
660	1257	645
661	1259	643
662	1261	641
663	1263	639
664	1265	637
665	1267	635
666	1268	633
667	1270	631
668	1272	629
669	1274	627
670	1275	625
671	1277	623
672	1279	621
673	1281	619
674	1283	617
675	1285	615
676	1286	614
677	1288	612
678	1290	610
679	1292	608
680	1294	606
681	1295	604
682	1297	602
683	1299	600
684	1301	598
685	1303	596
686	1305	594
687	1307	592
688	1309	590
689	1310	588
690	1312	586
691	1314	585
692	1316	583
693	1318	581
694	1319	579
695	1321	577
696	1323	575
697	1325	573
698	1327	571
699	1329	569
700	1330	567
701	1332	565
702	1334	563
703	1336	561
704	1337	559
705	1339	557
706	1341	556
707	1343	554
708	1345	552
709	1347	550
710	1348	548
711	1350	546
712	1352	544
713	1354	542
714	1356	540
715	1357	538
716	1359	536
717	1361	534
718	1363	532
719	1365	530
720	1367	529
721	1369	527
722	1370	525
723	1372	523
724	1374	521
725	1376	519
726	1378	517
727	1379	515
728	1381	513
729	1383	511
730	1385	509
731	1387	507
732	1388	505
733	1390	504
734	1392	502
735	1394	500
736	1396	498
737	1398	496
738	1399	494
739	1401	492
740	1403	490
741	1405	488
742	1407	486
743	1409	484
744	1411	483
745	1412	481
746	1414	479
747	1416	477
748	1418	475
749	1420	473
750	1422	471
751	1423	469
752	1425	467
753	1427	465
754	1429	463
755	1431	461
756	1432	459
757	1434	458
758	1436	456
759	1438	454
760	1440	452
761	1442	450
762	1443	448
763	1445	446
764	1447	444
765	1449	442
766	1451	440
767	1453	439
768	1455	437
769	1457	435
770	1459	433
771	1460	431
772	1462	429
773	1464	427
774	1466	425
775	1468	423
776	1470	421
777	1472	420
778	1473	418
779	1475	416
780	1477	414
781	1479	412
782	1481	410
783	1482	408
784	1484	406
785	1486	404
786	1488	402
787	1490	400
788	1491	398
789	1493	397
790	1495	395
791	1497	393
792	1499	391
793	1501	389
794	1503	387
795	1504	385
796	1506	383
797	1508	381
798	1510	380
799	1512	378
800	1514	376
801	1516	374
802	1518	372
803	1520	370
804	1522	368
805	1523	366
806	1525	364
807	1527	362
808	1530	361
809	1534	359
810	1537	358
811	1540	356
812	1543	355
813	1547	353
814	1550	351
815	1553	350
816	1557	348
817	1560	347
818	1561	345
819	1563	343
820	1565	341
821	1567	339
822	1569	337
823	1571	335
824	1572	333
825	1574	331
826	1576	329
827	1578	327
828	1580	325
829	1582	324
830	1583	322
831	1585	320
832	1587	318
833	1589	316
834	1591	314
835	1593	312
836	1595	310
837	1596	308
838	1598	306
839	1600	304
840	1602	302
841	1604	301
842	1605	299
843	1607	297
844	1609	295
845	1611	293
846	1613	291
847	1615	289
848	1617	287
849	1618	285
850	1620	283
851	1622	281
852	1624	279
853	1626	278
854	1627	276
855	1630	274
856	1631	272
857	1633	270
858	1635	268
859	1637	266
860	1639	264
861	1640	262
862	1643	260
863	1647	259
864	1653	258
865	1655	256
866	1656	254
867	1658	252
868	1660	250
869	1662	248
870	1664	246
871	1666	244
872	1667	242
873	1669	240
874	1671	238
875	1673	236
876	1675	234
877	1676	233
878	1678	231
879	1680	229
880	1682	227
881	1684	225
882	1686	223
883	1687	221
884	1689	219
885	1693	217
886	1696	216
887	1700	214
888	1703	212
889	1706	210
890	1710	209
891	1713	207
892	1716	205
893	1720	203
894	1723	202
895	1728	200
896	1731	198
897	1735	197
898	1736	195
899	1738	193
900	1741	191
901	1742	189
902	1744	187
903	1746	185
904	1748	183
905	1750	181
906	1752	179
907	1754	177
908	1756	175
909	1757	173
910	1759	171
911	1761	169
912	1763	168
913	1765	166
914	1766	164
915	1769	162
916	1771	160
917	1773	158
918	1775	156
919	1776	154
920	1778	152
921	1780	150
922	1782	148
923	1784	146
924	1786	144
925	1787	142
926	1789	140
927	1791	139
928	1793	137
929	1795	135
930	1797	133
931	1798	131
932	1800	129
933	1802	127
934	1804	125
935	1806	123
936	1809	121
937	1813	119
938	1817	118
939	1819	116
940	1821	114
941	1823	112
942	1825	110
943	1827	108
944	1828	106
945	1830	104
946	1832	102
947	1834	100
948	1836	98
949	1838	96
950	1839	94
951	1841	92
952	1843	90
953	1845	88
954	1847	87
955	1849	85
956	1851	83
957	1853	81
958	1855	79
959	1856	77
960	1858	75
961	1860	73
962	1862	71
963	1864	69
964	1866	67
965	1868	65
966	1870	63
967	1871	61
968	1873	59
969	1875	58
970	1877	56
971	1879	54
972	1880	52
973	1882	50
974	1884	48
975	1886	46
976	1888	44
977	1889	42
978	1892	40
979	1893	38
980	1895	36
981	1897	34
982	1899	32
983	1901	30
984	1903	28
985	1905	27
986	1907	25
987	1908	23
988	1910	21
989	1912	19
990	1914	17
991	1916	15
992	1918	13
993	1920	11
994	1922	9
995	1924	7
996	1925	5
997	1927	3
998	1929	1
999	1931	0
